harness,suite,suite-bugbench,crashing,lang-c,lang-cpp,lang-rust,slow,fast,shallow,big,progress-24h,fuzzbench,requires-sjlj,buggy-harness-upstream,wasm-specific-crash,buggy-port,buggy-project
libbzip2-rs-decompress_random_input.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
libpng-read.wasm,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
libsndfile-alt.wasm,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
libsndfile.wasm,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
libtiff-read_rgba.wasm,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
libwebp-advanced_api.wasm,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
libwebp-advanced_api2.wasm,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
libwebp-animation_api.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
libwebp-animdecoder.wasm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
libwebp-animencoder.wasm,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
libwebp-dwebp.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
libwebp-enc_dec.wasm,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
libwebp-mux_demux_api.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
libwebp-simple_api.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
libxml2-html.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
libxml2-regexp.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
libxml2-schema.wasm,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
libxml2-uri.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
libxml2-valid.wasm,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
